scenarioId	operationId	method	path	status	cause	feature	scenario
REF07_GetTopMobilePhones_01	GetTopMobilePhones	GET	/mobile-phones/top	200	Get top mobile phones returns records when mobile phones exist	MobilePhones/GetTopMobilePhones.feature	Get top mobile phones returns records when mobile phones exist
REF07_GetTopMobilePhones_02	GetTopMobilePhones	GET	/mobile-phones/top	200	Get top mobile phones returns an empty list when no mobile phones exist	MobilePhones/GetTopMobilePhones.feature	Get top mobile phones returns an empty list when no mobile phones exist
REF07_GetMobilePhones_01	GetMobilePhones	GET	/mobile-phones	200	Get mobile phones by amount returns matching list	MobilePhones/GetMobilePhonesByAmount.feature	Get mobile phones by amount returns matching list
REF07_GetMobilePhones_02	GetMobilePhones	GET	/mobile-phones	200	Get mobile phones by amount returns an empty list when no mobile phones exist	MobilePhones/GetMobilePhonesByAmount.feature	Get mobile phones by amount returns an empty list when no mobile phones exist
REF07_GetMobilePhones_03	GetMobilePhones	GET	/mobile-phones	400	Get mobile phones by amount fails for an invalid amount <amount>	MobilePhones/GetMobilePhonesByAmount.feature	Get mobile phones by amount fails for an invalid amount <amount>
REF07_GetMobilePhonesByIds_01	GetMobilePhonesByIds	POST	/mobile-phones/by-ids	404	Get mobile phones by ids fails when one requested mobile phone does not exist	MobilePhones/GetMobilePhonesByIdsNotFound.feature	Get mobile phones by ids fails when one requested mobile phone does not exist
REF07_DeleteMobilePhone_01	DeleteMobilePhone	DELETE	/mobile-phones/{id:guid}	200	Delete mobile phone returns ok response	MobilePhones/DeleteMobilePhone.feature	Delete mobile phone returns ok response
REF07_DeleteMobilePhone_02	DeleteMobilePhone	DELETE	/mobile-phones/{id:guid}	400	Delete mobile phone fails for missing mobile phone	MobilePhones/DeleteMobilePhone.feature	Delete mobile phone fails for missing mobile phone
REF07_GetMobilePhoneById_01	GetMobilePhoneById	GET	/mobile-phones/{id:guid}	200	Get mobile phone by id returns mobile phone	MobilePhones/GetMobilePhoneById.feature	Get mobile phone by id returns mobile phone
REF07_GetMobilePhoneById_02	GetMobilePhoneById	GET	/mobile-phones/{id:guid}	404	Get mobile phone by id fails for missing mobile phone	MobilePhones/GetMobilePhoneById.feature	Get mobile phone by id fails for missing mobile phone
REF07_GetMobilePhoneHistory_01	GetMobilePhoneHistory	GET	/mobile-phones/{id:guid}/history	200	Get mobile phone history returns history	MobilePhones/GetMobilePhoneHistory.feature	Get mobile phone history returns history
REF07_GetMobilePhoneHistory_02	GetMobilePhoneHistory	GET	/mobile-phones/{id:guid}/history	404	Get mobile phone history fails for missing mobile phone	MobilePhones/GetMobilePhoneHistory.feature	Get mobile phone history fails for missing mobile phone
REF07_GetMobilePhoneHistory_03	GetMobilePhoneHistory	GET	/mobile-phones/{id:guid}/history	200	Get mobile phone history returns an empty list when the phone has no history	MobilePhones/GetMobilePhoneHistory.feature	Get mobile phone history returns an empty list when the phone has no history
REF07_GetMobilePhoneHistory_04	GetMobilePhoneHistory	GET	/mobile-phones/{id:guid}/history	400	Get mobile phone history fails for an invalid page number <pageNumber>	MobilePhones/GetMobilePhoneHistory.feature	Get mobile phone history fails for an invalid page number <pageNumber>
REF07_GetMobilePhoneHistory_05	GetMobilePhoneHistory	GET	/mobile-phones/{id:guid}/history	400	Get mobile phone history fails for an invalid page size <pageSize>	MobilePhones/GetMobilePhoneHistory.feature	Get mobile phone history fails for an invalid page size <pageSize>
REF07_UpdateMobilePhone_01	UpdateMobilePhone	PUT	/mobile-phones/{id:guid}	200	Update mobile phone returns ok response	MobilePhones/UpdateMobilePhone.feature	Update mobile phone returns ok response
REF07_UpdateMobilePhone_02	UpdateMobilePhone	PUT	/mobile-phones/{id:guid}	400	Update mobile phone fails for missing mobile phone	MobilePhones/UpdateMobilePhone.feature	Update mobile phone fails for missing mobile phone
REF07_GetFiltered_MobilePhones_01	GetFiltered MobilePhones	POST	/mobile-phones/filter	200	Filter mobile phones by brand returns matching records	MobilePhones/GetFilteredMobilePhones.feature	Filter mobile phones by brand returns matching records
REF07_GetFiltered_MobilePhones_02	GetFiltered MobilePhones	POST	/mobile-phones/filter	400	Filter mobile phones fails when brand is outside enum values	MobilePhones/GetFilteredMobilePhones.feature	Filter mobile phones fails when brand is outside enum values
REF07_GetFiltered_MobilePhones_03	GetFiltered MobilePhones	POST	/mobile-phones/filter	200	Filter mobile phones returns an empty list when no records match	MobilePhones/GetFilteredMobilePhones.feature	Filter mobile phones returns an empty list when no records match
REF07_GetMobilePhonesByIds_02	GetMobilePhonesByIds	POST	/mobile-phones/by-ids	200	Get mobile phones by ids returns the requested mobile phones	MobilePhones/GetMobilePhonesByIds.feature	Get mobile phones by ids returns the requested mobile phones
REF07_GetMobilePhonesByIds_03	GetMobilePhonesByIds	POST	/mobile-phones/by-ids	400	Get mobile phones by ids fails for an empty id list	MobilePhones/GetMobilePhonesByIds.feature	Get mobile phones by ids fails for an empty id list
REF07_CreateMobilePhone_01	CreateMobilePhone	POST	/mobile-phones	201	Create mobile phone returns created response	MobilePhones/CreateMobilePhone.feature	Create mobile phone returns created response
REF07_CreateMobilePhone_02	CreateMobilePhone	POST	/mobile-phones	400	Create mobile phone fails with invalid details	MobilePhones/CreateMobilePhone.feature	Create mobile phone fails with invalid details
REF07_GetMobilePhoneById_03	GetMobilePhoneById	GET	/mobile-phones/{id:guid}	500	unexpected read dependency failure	MobilePhones/MobilePhonesServerErrors.feature	Get by ID returns a safe 500 response when reading fails
REF07_GetMobilePhones_04	GetMobilePhones	GET	/mobile-phones	500	unexpected read dependency failure	MobilePhones/MobilePhonesServerErrors.feature	Get by amount returns a safe 500 response when reading fails
REF07_GetMobilePhoneHistory_06	GetMobilePhoneHistory	GET	/mobile-phones/{id:guid}/history	500	unexpected read dependency failure	MobilePhones/MobilePhonesServerErrors.feature	Get history returns a safe 500 response when reading fails
REF07_GetTopMobilePhones_03	GetTopMobilePhones	GET	/mobile-phones/top	500	unexpected read dependency failure	MobilePhones/MobilePhonesServerErrors.feature	Get top returns a safe 500 response when reading fails
REF07_GetFiltered_MobilePhones_04	GetFiltered MobilePhones	POST	/mobile-phones/filter	500	unexpected read dependency failure	MobilePhones/MobilePhonesServerErrors.feature	Filter returns a safe 500 response when reading fails
REF07_GetMobilePhonesByIds_04	GetMobilePhonesByIds	POST	/mobile-phones/by-ids	500	unexpected read dependency failure	MobilePhones/MobilePhonesServerErrors.feature	Get by IDs returns a safe 500 response when reading fails
REF07_CreateMobilePhone_03	CreateMobilePhone	POST	/mobile-phones	500	repository SaveChanges failure; no current/history change	MobilePhones/WriteServerErrors.feature	<operationId> returns a safe 500 without saving changes
REF07_UpdateMobilePhone_03	UpdateMobilePhone	PUT	/mobile-phones/{id:guid}	500	repository SaveChanges failure; no current/history change	MobilePhones/WriteServerErrors.feature	<operationId> returns a safe 500 without saving changes
REF07_DeleteMobilePhone_03	DeleteMobilePhone	DELETE	/mobile-phones/{id:guid}	500	repository SaveChanges failure; no current/history change	MobilePhones/WriteServerErrors.feature	<operationId> returns a safe 500 without saving changes
REF07_DescribeAllFlows_01	DescribeAllFlows	GET	/products-documentation/flow	200	registered descriptors	Common/DocumentationEndpoints.feature	<operationId> returns complete documentation
REF07_DescribeAllFlows_02	DescribeAllFlows	GET	/products-documentation/flow	500	descriptor failure	Common/DocumentationEndpoints.feature	<operationId> returns a safe 500 when a descriptor fails
REF07_DescribeValidationPolicies_01	DescribeValidationPolicies	GET	/products-documentation/validation-policies	200	registered descriptors	Common/DocumentationEndpoints.feature	<operationId> returns complete documentation
REF07_DescribeValidationPolicies_02	DescribeValidationPolicies	GET	/products-documentation/validation-policies	500	descriptor failure	Common/DocumentationEndpoints.feature	<operationId> returns a safe 500 when a descriptor fails
REF07_CreateMobilePhone_type	CreateMobilePhone	POST	/mobile-phones	400	type	Common/ApiProblemContract.feature	Framework failures have the same JSON problem contract
REF07_CreateMobilePhone_null	CreateMobilePhone	POST	/mobile-phones	400	null	Common/ApiProblemContract.feature	Framework failures have the same JSON problem contract
REF07_CreateMobilePhone_missing	CreateMobilePhone	POST	/mobile-phones	400	missing	Common/ApiProblemContract.feature	Framework failures have the same JSON problem contract
